ch	N	ticks/s
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	1	0.00555555555555556
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	1	0.00555555555555556
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	1	0.00555555555555556
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	0	0
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	0	0
128	0	0
129	0	0
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	1	0.00555555555555556
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	1	0.00555555555555556
151	0	0
152	0	0
153	0	0
154	1	0.00555555555555556
155	0	0
156	0	0
157	0	0
158	1	0.00555555555555556
159	1	0.00555555555555556
160	0	0
161	0	0
162	1	0.00555555555555556
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	1	0.00555555555555556
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	1	0.00555555555555556
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	0	0
198	0	0
199	0	0
200	0	0
201	0	0
202	0	0
203	0	0
204	0	0
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	1	0.00555555555555556
215	0	0
216	0	0
217	0	0
218	0	0
219	0	0
220	0	0
221	0	0
222	0	0
223	1	0.00555555555555556
224	0	0
225	0	0
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	1	0.00555555555555556
239	0	0
240	1	0.00555555555555556
241	0	0
242	0	0
243	0	0
244	1	0.00555555555555556
245	0	0
246	0	0
247	0	0
248	0	0
249	1	0.00555555555555556
250	0	0
251	0	0
252	0	0
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	1	0.00555555555555556
263	0	0
264	0	0
265	0	0
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	1	0.00555555555555556
281	0	0
282	0	0
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	1	0.00555555555555556
291	0	0
292	0	0
293	0	0
294	1	0.00555555555555556
295	5	0.0277777777777778
296	16	0.0888888888888889
297	37	0.205555555555556
298	57	0.316666666666667
299	77	0.427777777777778
300	137	0.761111111111111
301	181	1.00555555555556
302	290	1.61111111111111
303	361	2.00555555555556
304	448	2.48888888888889
305	506	2.81111111111111
306	461	2.56111111111111
307	498	2.76666666666667
308	539	2.99444444444444
309	564	3.13333333333333
310	533	2.96111111111111
311	524	2.91111111111111
312	538	2.98888888888889
313	569	3.16111111111111
314	599	3.32777777777778
315	550	3.05555555555556
316	550	3.05555555555556
317	589	3.27222222222222
318	558	3.1
319	583	3.23888888888889
320	579	3.21666666666667
321	581	3.22777777777778
322	589	3.27222222222222
323	631	3.50555555555556
324	584	3.24444444444444
325	607	3.37222222222222
326	591	3.28333333333333
327	578	3.21111111111111
328	650	3.61111111111111
329	583	3.23888888888889
330	579	3.21666666666667
331	581	3.22777777777778
332	630	3.5
333	572	3.17777777777778
334	636	3.53333333333333
335	572	3.17777777777778
336	628	3.48888888888889
337	624	3.46666666666667
338	620	3.44444444444444
339	607	3.37222222222222
340	597	3.31666666666667
341	580	3.22222222222222
342	635	3.52777777777778
343	628	3.48888888888889
344	625	3.47222222222222
345	661	3.67222222222222
346	686	3.81111111111111
347	741	4.11666666666667
348	844	4.68888888888889
349	997	5.53888888888889
350	1242	6.9
351	1463	8.12777777777778
352	1751	9.72777777777778
353	2038	11.3222222222222
354	2371	13.1722222222222
355	2727	15.15
356	2950	16.3888888888889
357	3267	18.15
358	3526	19.5888888888889
359	3812	21.1777777777778
360	3937	21.8722222222222
361	4085	22.6944444444444
362	4201	23.3388888888889
363	4359	24.2166666666667
364	4570	25.3888888888889
365	4562	25.3444444444444
366	4645	25.8055555555556
367	4605	25.5833333333333
368	4733	26.2944444444444
369	4528	25.1555555555556
370	4694	26.0777777777778
371	4567	25.3722222222222
372	4603	25.5722222222222
373	4609	25.6055555555556
374	4443	24.6833333333333
375	4388	24.3777777777778
376	4333	24.0722222222222
377	4353	24.1833333333333
378	4186	23.2555555555556
379	4166	23.1444444444444
380	4076	22.6444444444444
381	3903	21.6833333333333
382	3824	21.2444444444444
383	3744	20.8
384	3711	20.6166666666667
385	3585	19.9166666666667
386	3529	19.6055555555556
387	3399	18.8833333333333
388	3317	18.4277777777778
389	3340	18.5555555555556
390	3125	17.3611111111111
391	3070	17.0555555555556
392	2989	16.6055555555556
393	2890	16.0555555555556
394	2946	16.3666666666667
395	2839	15.7722222222222
396	2761	15.3388888888889
397	2630	14.6111111111111
398	2481	13.7833333333333
399	2479	13.7722222222222
400	2462	13.6777777777778
401	2330	12.9444444444444
402	2299	12.7722222222222
403	2213	12.2944444444444
404	2116	11.7555555555556
405	2055	11.4166666666667
406	1978	10.9888888888889
407	1861	10.3388888888889
408	1889	10.4944444444444
409	1828	10.1555555555556
410	1785	9.91666666666667
411	1670	9.27777777777778
412	1637	9.09444444444445
413	1581	8.78333333333333
414	1612	8.95555555555556
415	1531	8.50555555555556
416	1371	7.61666666666667
