angle/°	t/ms	timer1/ms	timer2/ms	Date	DateOA	Counter1	Counter2	Counter3	Counter4	dt/ms	dtimer1/ms	dtimer2/ms	dCounter1	dCounter2	dCounter3	dCounter4	Ticks1	Ticks2	Ticks3	Ticks4	dTicks1	dTicks2	dTicks3	dTicks4
90	599996.24235	0	599987	2025-03-18_16:00:34	45734.6670601852	1114511	1605949	3755	4877	1	20	20	1055.70403049340	1267.26043100856	61.2780547994141	69.8355210476732	1857.55858043591	2676.63966052598	6.25846893349356	8.12850945103811	1.76063401333570	2.11403016739815	0.102132517267293	0.116395372351536
112.5	599996.4962	0	599987	2025-03-18_16:10:51	45734.6742013889	1118723	1607171	3824	5005	1	20	20	1057.69702656290	1267.74248173673	61.8384993349612	70.7460246232960	1864.57873253921	2678.67637132138	6.37347142521421	8.34184740669381	1.76396192433093	2.11483575245948	0.103066617631667	0.117912923688011
135	599996.32455	0	599988	2025-03-18_16:21:07	45734.6813310185	1120909	1609540	3963	5178	1	20	20	1058.72989945500	1268.67647570214	62.9523629421486	71.9583212700241	1868.21903104729	2682.62031907305	6.60513210264205	8.63017260345207	1.76568368131776	2.11639307903060	0.104922934371453	0.119933279129101
157.5	599996.2563	0	599987	2025-03-18_16:31:24	45734.6884722222	1121354	1608506	4216	5475	1	20	20	1058.94003607381	1268.26889893271	64.9307323229917	73.9932429347437	1868.96382754960	2680.90141953076	7.02681891440981	9.12519771261711	1.76603751725687	2.11571548296137	0.108220485463199	0.123325118722464
180	599996.72955	0	599987	2025-03-18_16:41:40	45734.6956018519	1114851	1609176	4299	5549	1	20	20	1055.86504819508	1268.53301100129	65.5667598711420	74.4916102658548	1858.12525938062	2682.01811039239	7.16515524503031	9.24853371823056	1.76090288032673	2.11615685879606	0.109280561867206	0.124155756568947
202.5	599996.1368	0	599988	2025-03-18_16:51:56	45734.7027314815	1099292	1607437	4156	5400	1	20	20	1048.47126808511	1267.84738829246	64.4670458451448	73.4846922834953	1832.18997713288	2679.11524897165	6.92680520277072	9.00018000360007	1.74855400160981	2.11500753719557	0.107447473446424	0.122477304122849
225	599996.2519	0	599987	2025-03-18_17:02:13	45734.7098726852	1087071	1606566	3810	4902	1	20	20	1042.62697068511	1267.50384614801	61.7251974480439	70.0142842568572	1811.82425619222	2677.66801614035	6.35013758631437	8.17017702050211	1.73879847380090	2.11443695342737	0.102877775860536	0.116693319917089
247.5	599996.68525	0	599987	2025-03-18_17:12:29	45734.7170023148	1075271	1606143	3700	4778	1	20	20	1036.95274723586	1267.33697176402	60.8276253029822	69.1230786351418	1792.15716340521	2676.96300086502	6.16680028067275	7.96350587596065	1.72932419618496	2.11415807932313	0.10138178050997	0.115207933048919
270	599996.18895	0	599987	2025-03-18_17:22:46	45734.7241435185	1069614	1606687	3622	4692	1	20	20	1034.22144630635	1267.55157685989	60.1830540933243	68.4981751581748	1782.72862578689	2677.86968717656	6.03679746394505	7.82016943700447	1.72476379628964	2.11451671920815	0.100307465328631	0.114166396467906
270	599996.101	0	599987	2025-03-18_17:32:50	45734.7311342593	1068730	1605200	3771	4812	1	20	20	1033.79398334484	1266.96487717695	61.4084684713762	69.3685807840985	1781.25526053064	2675.39130014484	6.28513617795052	8.02017377043169	1.72405007359768	2.11353624974965	0.102349879459985	0.115617115432878
