ch	N	ticks/s
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	1	0.00333333333333333
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	1	0.00333333333333333
110	0	0
111	0	0
112	0	0
113	0	0
114	0	0
115	0	0
116	0	0
117	0	0
118	0	0
119	0	0
120	0	0
121	0	0
122	0	0
123	0	0
124	0	0
125	0	0
126	0	0
127	1	0.00333333333333333
128	0	0
129	1	0.00333333333333333
130	0	0
131	0	0
132	0	0
133	0	0
134	0	0
135	0	0
136	0	0
137	0	0
138	0	0
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	0	0
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	1	0.00333333333333333
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	0
188	0	0
189	0	0
190	0	0
191	0	0
192	0	0
193	0	0
194	0	0
195	0	0
196	0	0
197	1	0.00333333333333333
198	0	0
199	0	0
200	1	0.00333333333333333
201	0	0
202	0	0
203	0	0
204	1	0.00333333333333333
205	0	0
206	0	0
207	0	0
208	0	0
209	0	0
210	0	0
211	0	0
212	0	0
213	0	0
214	0	0
215	0	0
216	0	0
217	0	0
218	0	0
219	1	0.00333333333333333
220	0	0
221	0	0
222	0	0
223	0	0
224	0	0
225	0	0
226	1	0.00333333333333333
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	0
234	0	0
235	0	0
236	0	0
237	0	0
238	0	0
239	0	0
240	0	0
241	0	0
242	0	0
243	0	0
244	0	0
245	0	0
246	0	0
247	1	0.00333333333333333
248	0	0
249	0	0
250	0	0
251	0	0
252	1	0.00333333333333333
253	0	0
254	0	0
255	0	0
256	0	0
257	0	0
258	0	0
259	0	0
260	0	0
261	0	0
262	0	0
263	0	0
264	0	0
265	1	0.00333333333333333
266	0	0
267	0	0
268	0	0
269	0	0
270	0	0
271	0	0
272	0	0
273	0	0
274	0	0
275	0	0
276	0	0
277	0	0
278	0	0
279	0	0
280	0	0
281	0	0
282	1	0.00333333333333333
283	0	0
284	0	0
285	0	0
286	0	0
287	0	0
288	0	0
289	0	0
290	0	0
291	0	0
292	0	0
293	0	0
294	0	0
295	0	0
296	0	0
297	0	0
298	0	0
299	1	0.00333333333333333
300	1	0.00333333333333333
301	0	0
302	1	0.00333333333333333
303	0	0
304	2	0.00666666666666667
305	3	0.01
306	4	0.0133333333333333
307	13	0.0433333333333333
308	11	0.0366666666666667
309	32	0.106666666666667
310	57	0.19
311	92	0.306666666666667
312	149	0.496666666666667
313	205	0.683333333333333
314	286	0.953333333333333
315	362	1.20666666666667
316	445	1.48333333333333
317	504	1.68
318	535	1.78333333333333
319	610	2.03333333333333
320	654	2.18
321	609	2.03
322	674	2.24666666666667
323	592	1.97333333333333
324	632	2.10666666666667
325	653	2.17666666666667
326	710	2.36666666666667
327	672	2.24
328	651	2.17
329	692	2.30666666666667
330	726	2.42
331	735	2.45
332	681	2.27
333	734	2.44666666666667
334	682	2.27333333333333
335	723	2.41
336	702	2.34
337	684	2.28
338	716	2.38666666666667
339	692	2.30666666666667
340	751	2.50333333333333
341	709	2.36333333333333
342	762	2.54
343	792	2.64
344	768	2.56
345	839	2.79666666666667
346	867	2.89
347	911	3.03666666666667
348	980	3.26666666666667
349	1017	3.39
350	1072	3.57333333333333
351	1048	3.49333333333333
352	1051	3.50333333333333
353	1064	3.54666666666667
354	1030	3.43333333333333
355	935	3.11666666666667
356	932	3.10666666666667
357	927	3.09
358	909	3.03
359	900	3
360	851	2.83666666666667
361	887	2.95666666666667
362	888	2.96
363	833	2.77666666666667
364	864	2.88
365	883	2.94333333333333
366	835	2.78333333333333
367	901	3.00333333333333
368	869	2.89666666666667
369	873	2.91
370	889	2.96333333333333
371	819	2.73
372	856	2.85333333333333
373	808	2.69333333333333
374	840	2.8
375	776	2.58666666666667
376	834	2.78
377	798	2.66
378	823	2.74333333333333
379	815	2.71666666666667
380	859	2.86333333333333
381	777	2.59
382	858	2.86
383	878	2.92666666666667
384	822	2.74
385	824	2.74666666666667
386	780	2.6
387	806	2.68666666666667
388	878	2.92666666666667
389	843	2.81
390	837	2.79
391	848	2.82666666666667
392	810	2.7
393	837	2.79
394	834	2.78
395	818	2.72666666666667
396	802	2.67333333333333
397	840	2.8
398	869	2.89666666666667
399	888	2.96
400	889	2.96333333333333
401	871	2.90333333333333
402	851	2.83666666666667
403	876	2.92
404	873	2.91
405	852	2.84
406	828	2.76
407	834	2.78
408	850	2.83333333333333
409	883	2.94333333333333
410	853	2.84333333333333
411	846	2.82
412	821	2.73666666666667
413	857	2.85666666666667
414	848	2.82666666666667
415	824	2.74666666666667
416	844	2.81333333333333
417	824	2.74666666666667
418	825	2.75
419	861	2.87
420	814	2.71333333333333
421	841	2.80333333333333
422	875	2.91666666666667
423	883	2.94333333333333
424	839	2.79666666666667
425	838	2.79333333333333
426	889	2.96333333333333
427	846	2.82
428	849	2.83
429	828	2.76
430	827	2.75666666666667
431	883	2.94333333333333
432	857	2.85666666666667
433	846	2.82
434	887	2.95666666666667
435	880	2.93333333333333
436	889	2.96333333333333
437	888	2.96
438	834	2.78
439	843	2.81
440	898	2.99333333333333
441	820	2.73333333333333
442	864	2.88
443	854	2.84666666666667
444	879	2.93
